image_names,class,xmin,xmax,ymin,ymax
hoankiem_178.jpg,tank,40,69,31,48
hoankiem_178.jpg,tank,31,67,11,28
hoankiem_316.jpg,tank,94,100,39,61
hoankiem_317.jpg,tank,0,20,29,65
hoankiem_320.jpg,tank,3,34,14,35
hoankiem_377.jpg,tank,75,100,20,38
hoankiem_378.jpg,tank,0,11,24,39
hoankiem_487.jpg,tank,70,100,0,42
hoankiem_488.jpg,tank,0,9,0,21
hoankiem_509.jpg,tank,7,46,81,100
hoankiem_509.jpg,tank,3,59,61,79
hoankiem_616.jpg,tank,15,16,0,1
hoankiem_622.jpg,tank,55,89,73,94
hoankiem_799.jpg,tank,48,76,32,51
hoankiem_829.jpg,tank,72,100,99,100
hoankiem_829.jpg,tank,70,100,69,88
hoankiem_830.jpg,tank,0,6,99,100
hoankiem_830.jpg,tank,0,14,69,86
hoankiem_936.jpg,tank,67,100,0,17
hoankiem_937.jpg,tank,0,12,0,15
hoankiem_1023.jpg,tank,35,86,70,93
hoankiem_1023.jpg,tank,39,87,46,72
hoankiem_1475.jpg,tank,89,100,12,29
hoankiem_1476.jpg,tank,0,18,13,30
hoankiem_1576.jpg,tank,36,71,13,53
hoankiem_1658.jpg,tank,55,82,72,100
hoankiem_1696.jpg,tank,11,48,33,50
hoankiem_1696.jpg,tank,57,92,9,29
hoankiem_1765.jpg,tank,18,63,47,72
hoankiem_1765.jpg,tank,53,77,0,18
hoankiem_1802.jpg,tank,82,100,51,70
hoankiem_1803.jpg,tank,0,11,53,72
hoankiem_2016.jpg,tank,5,44,29,47
hoankiem_2022.jpg,tank,74,100,44,65
hoankiem_2023.jpg,tank,0,7,49,64
hoankiem_2104.jpg,tank,3,39,3,25
hoankiem_2106.jpg,tank,68,91,71,100
hoankiem_2213.jpg,tank,41,83,14,35
hoankiem_2213.jpg,tank,66,86,0,13
hoankiem_2267.jpg,tank,46,71,59,100
hoankiem_2320.jpg,tank,65,90,10,48
hoankiem_2553.jpg,tank,8,42,29,47
hoankiem_3192.jpg,tank,40,70,48,69
hoankiem_3262.jpg,tank,28,65,49,82
hoankiem_3262.jpg,tank,6,29,46,77
hoankiem_3575.jpg,tank,38,92,1,49
hoankiem_3740.jpg,tank,41,90,2,32
hoankiem_3777.jpg,tank,94,100,35,51
hoankiem_3778.jpg,tank,0,29,34,59
hoankiem_3890.jpg,tank,10,38,62,99
hoankiem_3891.jpg,tank,36,49,91,100
hoankiem_3917.jpg,tank,32,84,48,84
hoankiem_3923.jpg,tank,48,88,95,100
hoankiem_3998.jpg,tank,32,50,0,25
hoankiem_4030.jpg,tank,46,90,0,14
hoankiem_4213.jpg,tank,39,59,75,100
hoankiem_4216.jpg,tank,84,100,51,73
hoankiem_4217.jpg,tank,0,12,51,73
